seed,condition,drift_scale,baseline,auroc,auprc,ece,aurc,n_test_samples
5,unseen_weaker_drift,0.175,A_no_signal,0.5,0.20666666666666667,0.039999999999999925,0.1902980498385012,3000
5,unseen_weaker_drift,0.175,B_calibrated_confidence,0.6881631200867444,0.3122323528472419,0.03137530618622382,0.12104483993456618,3000
5,unseen_weaker_drift,0.175,C_original_failure_memory,0.5197445107075088,0.21820818064183173,,0.20273288013804552,3000
5,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.6837449173217673,0.3114848451000951,0.040339058683586906,0.12099027326935917,3000
5,unseen_stronger_drift,0.7,A_no_signal,0.5,0.255,0.008333333333333415,0.2281856027167662,3000
5,unseen_stronger_drift,0.7,B_calibrated_confidence,0.6302978462078345,0.3368554610286401,0.06704197285289049,0.18413131085988346,3000
5,unseen_stronger_drift,0.7,C_original_failure_memory,0.5111695983389627,0.26858338297672096,,0.2501275593593909,3000
5,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.6242452954336097,0.3319266439883397,0.03557678975455059,0.18415376352927273,3000
42,original_benchmark,0.35,A_no_signal,0.5,0.3333333333333333,0.062000000000000055,0.2660078747151014,3000
42,original_benchmark,0.35,B_calibrated_confidence,0.62886525,0.41644049729754873,0.12062263260285798,0.24529795836334048,3000
42,original_benchmark,0.35,C_original_failure_memory,0.5193255,0.35193182746273355,,0.32642941855879776,3000
42,original_benchmark,0.35,D_supervised_failure_risk,0.624891,0.4170684154246195,0.09216723353551066,0.2519689227965259,3000
42,unseen_weaker_drift,0.175,A_no_signal,0.5,0.25266666666666665,0.01866666666666661,0.21738553606424718,3000
42,unseen_weaker_drift,0.175,B_calibrated_confidence,0.6680951798125966,0.35170842219542653,0.04995596593619131,0.15954727100641228,3000
42,unseen_weaker_drift,0.175,C_original_failure_memory,0.5260304006741059,0.2751816005507216,,0.2465113085847158,3000
42,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.6668176971654126,0.36229840603883123,0.05473421944659534,0.16341469153421248,3000
42,unseen_stronger_drift,0.7,A_no_signal,0.5,0.4236666666666667,0.15233333333333343,0.36711680004917746,3000
42,unseen_stronger_drift,0.7,B_calibrated_confidence,0.5873501007253957,0.4828195311280418,0.20228929926952466,0.35480522955339633,3000
42,unseen_stronger_drift,0.7,C_original_failure_memory,0.5193007332226348,0.44483223616020584,,0.4168281722200575,3000
42,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.5838418900243406,0.4784936877673205,0.16389859859805445,0.3603048551548633,3000
