population,feature,n_error,n_correct,error_missing_rate,correct_missing_rate,standardized_mean_difference,ks_statistic,univariate_error_auroc,feature_min,feature_max
canonical_temporal,mean_plan_mem,1086,1413,0,0,0.11865804650211488,0.12368183364418013,0.52736298955111638,0.78125,300
canonical_temporal,max_plan_mem,1086,1413,0,0,0.077146815008723724,0.094810227055010105,0.51137392979424157,0.78125,300
canonical_temporal,mean_plan_gpu,1086,1413,0.00092081031307550648,0.021231422505307854,-0.43015370675193093,0.47256848299462534,0.33216776459376696,5,800
canonical_temporal,max_plan_gpu,1086,1413,0.00092081031307550648,0.021231422505307854,-0.43015370675193093,0.47256848299462534,0.33216776459376696,5,800
canonical_temporal,n_distinct_gpu_types,1086,1413,0,0,0.17553523931809353,0.02031061219223235,0.50944824368303265,0,2
canonical_temporal,n_instances,1086,1413,0,0,-0.23368792143743636,0.18736046106986037,0.40642143005165138,1,502
canonical_temporal,n_distinct_machines,1086,1413,0,0,-0.23789625419985017,0.17391389348316541,0.4130811759783854,1,297
canonical_temporal,mean_instance_start_time,1086,1413,0,0,-1.0639973747343823,0.57353970432409396,0.22219420039386961,5540093.854166667,6449464
fold_1,job_start_time,345,1655,0,0,0.19482970795474799,0.13300932615263367,0.55587284907395251,3563831,4789055
fold_1,n_tasks,345,1655,0,0,-0.069277050462267689,0.015928893559262663,0.49106791015368456,1,3
fold_1,n_distinct_task_names,345,1655,0,0,-0.069277050462267689,0.015928893559262663,0.49106791015368456,1,3
fold_1,sum_inst_num,345,1655,0,0,0.045855490331145284,0.017802881036822978,0.50367178948290203,1,401
fold_1,mean_plan_cpu,345,1655,0,0,0.17289793748946666,0.095590875257235433,0.55907001182188354,1,9000
fold_1,max_plan_cpu,345,1655,0,0,0.16722936956153917,0.096676737160120846,0.54576119795087341,1,9000
fold_1,mean_plan_mem,345,1655,0,0,0.32852638710528742,0.12362187486317264,0.59405490608170231,0.09765625,300
fold_1,max_plan_mem,345,1655,0,0,0.33855735005312582,0.12615263365296203,0.59700687420640131,0.09765625,300
fold_1,mean_plan_gpu,345,1655,0.017391304347826087,0.030211480362537766,0.17055550759358401,0.12318804620516638,0.56039570295628516,1,800
fold_1,max_plan_gpu,345,1655,0.017391304347826087,0.030211480362537766,0.17055550759358401,0.12318804620516638,0.56039570295628516,1,800
fold_1,n_distinct_gpu_types,345,1655,0,0,0.1150386101909221,0.018617277463987041,0.50841280266211308,0,2
fold_1,n_instances,345,1655,0,0,0.039369397759183848,0.021428258680327508,0.50875344804938927,1,401
fold_1,n_distinct_machines,345,1655,0,0,0.076883859364292595,0.018555978808178993,0.50920443101711987,1,400
fold_1,mean_instance_start_time,345,1655,0,0,0.19781092721828963,0.13821095494548799,0.55679495599632212,3563834,4789060.416666667
fold_2,job_start_time,633,1367,0,0,0.49262166333828766,0.41508428761451083,0.65947098788759184,4789772,5667324
fold_2,n_tasks,633,1367,0,0,-0.39963228831866815,0.13323995650118858,0.43283802008757544,1,3
fold_2,n_distinct_task_names,633,1367,0,0,-0.39963228831866815,0.13323995650118858,0.43283802008757544,1,3
fold_2,sum_inst_num,633,1367,0,0,-0.11629488320908411,0.15542735502033372,0.42285779332517437,1,415
fold_2,mean_plan_cpu,633,1367,0,0,-0.43670730582689643,0.40443031464987733,0.31461231857678917,8,9000
fold_2,max_plan_cpu,633,1367,0,0,-0.45179147631422589,0.40443031464987733,0.30280442522977286,8,9000
fold_2,mean_plan_mem,633,1367,0,0,0.086303939260997539,0.11802577339245658,0.54459841606081516,0.9765625,300
fold_2,max_plan_mem,633,1367,0,0,0.054804294546964089,0.089931827978611156,0.52934609637459829,0.9765625,300
fold_2,mean_plan_gpu,633,1367,0.0031595576619273301,0.019751280175566936,-0.17428918092278967,0.23913830215010526,0.44272890697069323,1,800
fold_2,max_plan_gpu,633,1367,0.0031595576619273301,0.019751280175566936,-0.17428918092278967,0.23913830215010526,0.44272890697069323,1,800
fold_2,n_distinct_gpu_types,633,1367,0,0,0.12932346349599638,0.016591722513639606,0.50720203487532223,0,2
fold_2,n_instances,633,1367,0,0,-0.12525851590625464,0.17904660867595582,0.40959204262975962,1,426
fold_2,n_distinct_machines,633,1367,0,0,-0.17143245613325739,0.16977017511622988,0.41549570038980205,1,135
fold_2,mean_instance_start_time,633,1367,0,0,0.49274363627430573,0.41508428761451083,0.65943631827169658,4790106.333333333,5698357.3684210526
fold_3,job_start_time,368,1632,0,0,0.5481038775829451,0.33487851662404094,0.66669497282608692,5668729,6449460
fold_3,n_tasks,368,1632,0,0,-0.065253978571649648,0.016304347826086956,0.49149150149190113,1,3
fold_3,n_distinct_task_names,368,1632,0,0,-0.065253978571649648,0.016304347826086956,0.49149150149190113,1,3
fold_3,sum_inst_num,368,1632,0,0,0.030402446246819221,0.016783887468030691,0.50291636695439046,1,502
fold_3,mean_plan_cpu,368,1632,0,0,0.40768409127076566,0.18044011082693948,0.57593377024722936,4,9000
fold_3,max_plan_cpu,368,1632,0,0,0.40023472349365757,0.18044011082693948,0.57301573822463781,4,9000
fold_3,mean_plan_mem,368,1632,0,0,0.41326860460349191,0.20601555839727195,0.6014359548167092,0.78125,300
fold_3,max_plan_mem,368,1632,0,0,0.41931207067053156,0.20620204603580564,0.59793265132139795,0.78125,300
fold_3,mean_plan_gpu,368,1632,0.002717391304347826,0.015931372549019607,0.30318738346391982,0.18420195384474433,0.55804612132296805,5,800
fold_3,max_plan_gpu,368,1632,0.002717391304347826,0.015931372549019607,0.30318738346391982,0.18420195384474433,0.55804612132296805,5,800
fold_3,n_distinct_gpu_types,368,1632,0,0,0.17087271261310846,0.013213981244671782,0.5092810901534528,0,2
fold_3,n_instances,368,1632,0,0,0.015033781052504198,0.028719096334185849,0.51195851982097185,1,502
fold_3,n_distinct_machines,368,1632,0,0,0.031676888860620256,0.029145353793691389,0.5128726422634271,1,297
fold_3,mean_instance_start_time,368,1632,0,0,0.54897450516692248,0.33487851662404094,0.66675075261082695,5668734,6449464
